5,5,-3.1415
5,5,-1.5708
5,10,-1.5708
5,15,-1.5708
5,20,-1.5708
5,25,-1.5708
5,30,-1.5708
5,35,-1.5708
5,40,-1.5708
5,45,-1.5708
5,50,-1.5708
5,55,-1.5708
5,60,-1.5708
5,65,-1.5708
5,70,-1.5708
5,75,-1.5708
5,80,-1.5708
5,85,-1.5708
5,90,-1.5708
5,95,-1.5708
5,100,-1.5708
5,105,-1.5708
5,110,-1.5708
5,115,-1.5708
5,120,-1.5708
5,125,-1.5708
5,130,-1.5708
5,135,-1.5708
5,140,-1.5708
5,145,-1.5708
5,150,-1.5708
5,155,-1.5708
5,160,-1.5708
5,165,-1.5708
5,170,-1.5708
5,175,-1.5708
5,180,-1.5708
5,185,-1.5708
5,190,-1.5708
5,195,0
10,195,0
15,195,0
20,195,0
25,195,0
30,195,0
35,195,0
40,195,0
45,195,0
50,195,0
55,195,0
60,195,0
65,195,0
70,195,0
75,195,0
80,195,0
85,195,0
90,195,0
95,195,0
100,195,0
105,195,0
110,195,0
115,195,0
120,195,0
125,195,0
130,195,0
135,195,0
140,195,0
145,195,0
150,195,0
155,195,0
160,195,0
165,195,0
170,195,0
175,195,0
180,195,0
185,195,0
190,195,0
195,195,1.5708
195,190,1.5708
195,185,1.5708
195,180,1.5708
195,175,1.5708
195,170,1.5708
195,165,1.5708
195,160,1.5708
195,155,1.5708
195,150,1.5708
195,145,1.5708
195,140,1.5708
195,135,1.5708
195,130,1.5708
195,125,1.5708
195,120,1.5708
195,115,1.5708
195,110,1.5708
195,105,1.5708
195,100,1.5708
195,95,1.5708
195,90,1.5708
195,85,1.5708
195,80,1.5708
195,75,1.5708
195,70,1.5708
195,65,1.5708
195,60,1.5708
195,55,1.5708
195,50,1.5708
195,45,1.5708
195,40,1.5708
195,35,1.5708
195,30,1.5708
195,25,1.5708
195,20,1.5708
195,15,1.5708
195,10,1.5708
195,5,3.1415
190,5,3.1415
185,5,3.1415
180,5,3.1415
175,5,3.1415
170,5,3.1415
165,5,3.1415
160,5,3.1415
155,5,3.1415
150,5,3.1415
145,5,3.1415
140,5,3.1415
135,5,3.1415
130,5,3.1415
125,5,3.1415
120,5,3.1415
115,5,3.1415
110,5,3.1415
105,5,3.1415
100,5,3.1415
95,5,3.1415
90,5,3.1415
85,5,3.1415
80,5,3.1415
75,5,3.1415
70,5,3.1415
65,5,3.1415
60,5,3.1415
55,5,3.1415
50,5,3.1415
45,5,3.1415
